Age ,maximum doing during free time?,favourite food?,Gender,Favorite Colour ,Know to cook,season like the most,Likes long travelling,Vehicle prefer to travel,sleeping comfortably,staying comfortably,organism like the most,like to live , family or friends like the more?,total family members
33,Sit in alone,Nonveg Meals,Female,Light Bink ,Yes,Rainy,Yes,Bus,Yes,Yes,Birds,Yes,Family,10 / More then 10
19,Playing Indoor Games,Nonveg Meals,Male,Blue,No,Winter,Yes,Car,Yes,Yes,Plants,Yes,Family,3
29,Playing Out Door Games,Veg Meals,Male,Green ,Yes,Rainy,Yes,Bike,Yes,Yes,Plants,Yes,Family,4
20,Playing Online Games,Nonveg Junk Food,Male,Green,Yes,Winter,Yes,Bike,Yes,Yes,Birds,Yes,Family,4
20,Playing Out Door Games,Nonveg Junk Food,Male,Dark blue ,No,Spring,No,Car,Yes,Yes,Human,Yes,Family,4
18,Playing Online Games,Nonveg Meals,Male,Sky Blue ,Yes,Winter,Yes,Car,Yes,Yes,Domestic Animals,Yes,Friends,4
20,Playing Out Door Games,Nonveg Meals,Male,Black ,Yes,Summer,Yes,Car,Yes,Yes,Human,Yes,Family,4
20,Speak with my family or friends,Veg Meals,Male,Purple ,Yes,Spring,Yes,Car,Yes,Yes,Plants,Yes,Family,5
19,Sit in alone,Nonveg Meals,Male,Black,Yes,Spring,Yes,Bike,Yes,Yes,Human,Yes,Friends,4
20,Watching Movies,Nonveg Meals,Male,Blue,Yes,Winter,Yes,Car,Yes,Yes,Domestic Animals,Yes,Family,6
19,Playing Out Door Games,Nonveg Meals,Male,blue,Yes,Winter,Yes,Bike,No,Yes,Domestic Animals,Yes,Family,4
20,Playing Out Door Games,Nutritional food,Male,Blue,No,Rainy,No,Bike,Yes,Yes,Domestic Animals,Yes,Family,6
21,Watching Movies,Nonveg Meals,Male,Ocean blue,Yes,Summer,Yes,Train,Yes,No,Plants,Yes,Family,6
